"species"	"site"	"season"	"count"
"1"	"58"	"1"	"1"
"2"	"58"	"1"	"0"
"3"	"58"	"1"	"1"
"1"	"59"	"1"	"1"
"2"	"59"	"1"	"0"
"3"	"59"	"1"	"1"
"1"	"60"	"1"	"0"
"2"	"60"	"1"	"0"
"3"	"60"	"1"	"0"
"1"	"61"	"1"	"1"
"2"	"61"	"1"	"0"
"3"	"61"	"1"	"1"
"1"	"62"	"1"	"1"
"2"	"62"	"1"	"0"
"3"	"62"	"1"	"1"
"1"	"63"	"1"	"1"
"2"	"63"	"1"	"0"
"3"	"63"	"1"	"1"
"1"	"64"	"1"	"0"
"2"	"64"	"1"	"0"
"3"	"64"	"1"	"0"
"1"	"65"	"1"	"1"
"2"	"65"	"1"	"1"
"3"	"65"	"1"	"1"
"1"	"66"	"1"	"1"
"2"	"66"	"1"	"0"
"3"	"66"	"1"	"1"
"1"	"67"	"1"	"1"
"2"	"67"	"1"	"0"
"3"	"67"	"1"	"1"
"1"	"68"	"1"	"1"
"2"	"68"	"1"	"0"
"3"	"68"	"1"	"1"
"1"	"69"	"1"	"1"
"2"	"69"	"1"	"0"
"3"	"69"	"1"	"1"
"1"	"70"	"1"	"0"
"2"	"70"	"1"	"0"
"3"	"70"	"1"	"0"
"1"	"71"	"1"	"1"
"2"	"71"	"1"	"0"
"3"	"71"	"1"	"1"
"1"	"72"	"1"	"1"
"2"	"72"	"1"	"0"
"3"	"72"	"1"	"1"
"1"	"73"	"1"	"1"
"2"	"73"	"1"	"0"
"3"	"73"	"1"	"1"
"1"	"74"	"1"	"0"
"2"	"74"	"1"	"0"
"3"	"74"	"1"	"0"
"1"	"75"	"1"	"1"
"2"	"75"	"1"	"0"
"3"	"75"	"1"	"1"
"1"	"76"	"1"	"0"
"2"	"76"	"1"	"0"
"3"	"76"	"1"	"0"
"1"	"77"	"1"	"0"
"2"	"77"	"1"	"0"
"3"	"77"	"1"	"0"
"1"	"78"	"1"	"0"
"2"	"78"	"1"	"0"
"3"	"78"	"1"	"0"
"1"	"79"	"1"	"0"
"2"	"79"	"1"	"0"
