Column1,sites,CRPPrp,SGPPrp,RowcropPrp,TotalEdge
142,142,0.05,0.632375081,0.103089827,245370
143,143,0.23,0.001218551,0.60547631,133020
144,144,0,0.033056073,0.849132368,156540
145,145,0,0,0.108664467,165000
146,146,0.13,0.104840445,0.270706346,377250
147,147,0.11,0.086324235,0.501611863,156060
148,148,0.02,0.213247404,0.448836377,340920
149,149,0.06,0.002723624,0.649584289,100290
150,150,0.09,0.004805968,0.439710207,200880
151,151,0,0.183166189,0.510028653,260250
152,152,0.23,0.056001146,0.445789172,147300
153,153,0.04,0.246164875,0.442150538,303630
154,154,0.11,0.042030646,0.498138336,288780
155,155,0.04,0.020936402,0.622356062,345600
156,156,0.38,0.17173383,0.205506955,304560
157,157,0.05,0.002940333,0.710054504,128100
158,158,0.09,0.085810472,0.372036387,280590
159,159,0,0.161565479,0.396028958,384450
160,160,0.23,0.013900831,0.355116079,197070
161,161,0,0.268875027,0.481537248,339000
162,162,0.01,0.427301405,0.101233152,589260
163,163,0.03,0.537253496,0.084187881,518460
164,164,0,0.03034651,0.492646531,267150
165,165,0,0.000286697,0.786840596,160440
166,166,0.1,0.0012906,0.587653259,149040
167,167,0.01,0.08387698,0.628862284,236400
168,168,0,0.003367968,0.670154067,120030
169,169,0.11,0.126623144,0.414592152,386550
170,170,0.38,0.00035832,0.270245091,186420
171,171,0.05,0.349207488,0.25740515,502230
172,172,0.01,0.001146625,0.593879891,132750
173,173,0,0.028391167,0.744766275,177570
174,174,0.28,0.000286328,0.588904796,188220
175,175,0.01,0.336250807,0.313078413,493260
176,176,0.03,0.462078853,0.06874552,523770
177,177,0.14,0.07547846,0.466848255,242610
178,178,0.16,0.137491039,0.407455197,333390
179,180,0.33,0.012458829,0.463697551,136740
180,181,0.02,0.334266035,0.241641555,412620
181,182,0.34,0.140597036,0.296370535,236070
182,183,0.12,0.263659831,0.224150294,416100
183,184,0.11,0.039151011,0.269539653,280560
184,185,0.18,0.071418338,0.60752149,184020
185,186,0.18,0.311993691,0.174994623,347670
186,187,0,0.008091658,0.00594343,596700
187,188,0.18,0.00265062,0.479117415,144090
188,189,0.2,0.034233331,0.429062522,224400
189,190,0.25,0.287660429,0.122750412,408210
190,191,0.18,0.225598395,0.087788448,383700
191,192,0,0.210650803,0.346473624,345210
192,193,0.01,0.017131388,0.708981435,289470
193,194,0.26,0.222468853,0.225762566,301620
194,195,0,0.045431745,0.704335364,125370
195,196,0.04,0.185958118,0.297762478,400260
196,197,0,0.321213425,0.127940333,508710
197,198,0.16,0.014969202,0.079931242,335910
198,199,0.01,0.738187285,0.079467354,314160
199,200,0.53,0.015277579,0.250394491,166440
